,appId,content,score
0,com.nike.plusgps,"The audio guides themselves are generally good, but everything else about this app is bad. EVERYTHING. It crashes, it logs me out frequently, runs won't end, you can't search runs and it's constantly un-dowloading the ones I had saved so I have to find them again. It looks nice but they forgot to make a functional product, which kind of summarizes Nike as a company. EDIT: They updated the app and it's WORSE. I think I'm going to uninstall it at this point.",1
1,com.nike.plusgps,"I have a Google pixel 8 pro. This app is absolutely horrible on an android. I started the 5k training plan & it often gets stuck on the rest interval of a run and no matter how much pausing and resuming I do, it doesn't go onto the next interval so most of the time I'm doing a run with this app, I'm almost halfway into a run and I can't continue my training because the app gets stuck and glitches. I also can't connect to my Spotify with my Google pixel so I have to open Spotify in the background",1
2,com.nike.plusgps,"This is the most buggy, slow, incredibly frustrating apps I've probably ever used. It takes upwards of 20 minutes to ""complete my run"". It logs me out all the time. The UI is not very user friendly I don't think. I feel like this app should be miles and miles better than what it is but it falls very short of that. I am on an android device so that might be my problem but why on earth should that mess with it? I hope it gets better soon or I'm looking elsewhere.",1
3,com.nike.plusgps,"This used to be my go-to running app, but in the last year, it's gotten worse and worse. Every time you log out, which happens any time the app updates, you lose ALL of your saved runs. Music volume used to be temporarily lowered when a coach was talking. This is no longer the case. You hear both your music and the coach at full volume. Pausing the run often breaks coach prompt timing. Entire sections are sometimes skipped. I don't think anyone at Nike uses this app on Android... Avoid.",1
4,com.nike.plusgps,This app used to be really good. Now it just sucks. Especially the downloadable runs. They are no longer compatible with music (they don't lower the volume so you can hear the coach) and they break any time you have to pause and quickly switch to another app. I was just doing a speed run when I got a text I needed to respond to. I paused the workout and switched to messenger. Then when I switched back the workout was no longer tracking distance and the intervals were no longer auto-pausing.,1
5,com.nike.plusgps,"Just plagued with issues. Notably, the guided runs would often lose count during an interval. For instance, during a 30 second interval, the voiceover would often disappear beyond 30 seconds then miraculously return about a minute later. This has been ongoing for the last few weeks with no fix in sight, please just get the basics right.",1
6,com.nike.plusgps,"This doesn't work on Android. The info in the guided runs is excellent, but the audio doesn't play back correctly. You might be doing a speed run that tells you to run hard for 2 minutes, and the next audio track might play one minute in saying ""hope you feel rested, because our 4th interval for 5 minutes at 5k pace starts in 3... 2... "" and you feel at that point you are wasting your time. And even without the guided runs, the app sometimes locks up while tracking a regular run.",1
7,com.nike.plusgps,"This app USED to be good. Now it can't seem to handle playing music and guidance simultaneously - one always drowns out the other. It also lost half my progress on my most recent run, saying I ran .88 miles instead of the 1.68 logged on my watch. I've submitted feedback multiple times from the app with no response and no sign of receipt or action as a result of this feedback. I wish this went back to an earlier version over a year ago that had no bugs. It's really a shame.",1
8,com.nike.plusgps,"Absolutely riddled with glitches that would be embarrassing from a C list app, let alone Nike. Logs me out after every use. Guided runs are never synchronized to the time of the run due to buffering (says you have seven minutes to go three minutes from end of run, etcétera). Does not work with Spotify at all despite claiming cross compatibility. Fixes don't work, apps pause each other. When it works it's great. Good luck making that happen.",1
9,com.nike.plusgps,"The GPS on Android OS is off. It signs you off frequently and sign back in is painful! The results are not consistent compared to Garmin GPS (the longer is run, the larger the error). Recently, I did a 10 miler, this App said it is 13 miles. The timing on speed runs are also off. 10 sec on watch is announced as 30 sec on the guided run!. Need a major fix. The only good thing is guided runs and can be good App for beginners.",1
10,com.nike.plusgps,11/23 update: havent had to force stop in a while but it randomly pauses without actually pausing so you end up running way longer than you are supposed to or just have to stop on your own cause it isnt tracking you anymore. Having to force stop the app to end a run like many others have said. On a samsung galaxy. It would be a great app otherwise.,1
11,com.nike.plusgps,"Downgraded from 5 to 1 because it's been completely unreliable and an hindrance to my runs. Timing, audio, all messed up. A ""guided"" run will tell you you got 60 seconds to run, and after 60 seconds, you got 90 seconds left? Either this app helps you time travel, in which case I give it 5/5, or they messed it up after the last update, which then justifies my 1/5.",1
12,com.nike.plusgps,"Loved the app before the most recent update. I used Guided Runs on basically every run. Now, there's an issue with the audio where you either can't hear the coach, or the music volume won't go back up when they aren't talking. Emailed support, they say there won't be a fix anytime soon. Won't use the app until it's fixed, which sounds like might be never.",1
13,com.nike.plusgps,"Update: downgraded to one star because it's completely unreliable. You'll do an interval run and it'll casually won't tell you when to start or stop. And yes this was a ""guided run"". Incredibly frustrating when you're trying to achieve a goal. Do not use as a run coach. Good, when it works. Incredibly frustrating to log an entire run then the app freezes. Or doing interval runs and it just stops prompting you to start/stop an interval.",1
14,com.nike.plusgps,"I loved the app when it worked. Although for several weeks, the audio part has been messed up. When I start an audio guided run with my own music playing, the app doesn't lower my music when the coach is talking. They are just both blaring at the same time. If I press pause, then play, my music lowers, and I can hear the coach, but when the coach goes quiet for a bit, my music remains low. It doesn't turn back up. I've called the support many times about it, and no one reached out.",1
15,com.nike.plusgps,"The guided runs and the training plans are great! Unfortunately in recent months, the app has had problems transitioning between pauses and ending runs, having to force stop the app through the phone settings in order to end the run. This is such a frustrating experience and also totally messes up the recorded paces and distances. Hoping that this fundamental feature will get fixed soon. This app would be so much better if they reverted all their changes from the past year and a half.",1
16,com.nike.plusgps,"Used to work great. Now, when I have any run with intervals the timing is off and I don't get a verbal notice to move into the next run or rest period. For example, a sprint of 20 sec and rest for 10 sec repeating only announces the sprint with no countdown for the rest and on the last sprint interval there was no countdown out or announcement of the 3 minute cool down",1
17,com.nike.plusgps,This would be bad for a free app. It's embarrassing for a paid app from a company as big as Nike. You have to log into the app almost every time you open it and 25% of the time it freezes on the log in page and you have to start over. I've searched for fixes and this issue has been going on for years. When you re-log in you also have to reset all of your settings. The training plans are okay but some of the runs are guided with no way to turn off the coach.,1
18,com.nike.plusgps,"Downgraded from 5 to 1 star for all the reasons listed in previous reviews.... This has so much potential, but it's the buggiest app I've ever experienced. The interval runs always screw up and it's even cut a long run off early. So frustrating, as they should be simple fixes, but it's completely messing up my training.",1
19,com.nike.plusgps,Completely inaccurate when tracking runs. I will run the exact same route along a running path that runs directly parallel to a major road in my city and the mileage will differ by as much as half a mile from day to day. It also constantly logs me out and resets my settings. Its really only useful for tracking how many miles you've run in a month etc but again it is not accurate.,1
20,com.nike.plusgps,"Not sure what is going on with the app, I've had this app for over 5+ years and never was frustrated as I am now! Everytime I do an interval run the audio does not match with the intervals. Now, it's not even saving my runs so I just completed a run for my training plan and it didn't mark it as complete.",1
21,com.nike.plusgps,"Would be a good app except the location turns off when I lock my screen. I looked for location permissions and it's set to when app is in use, I did a quick Google search and found that I cannot allow Nike location permissions all the time because Google makes devs jump through too many hoops to get that permission as an option. Please fix! I had to scrap my first run, which was upposed to be my baseline but because it skipped 50% of my run idk how far I went or my actual pace. Very upset.",1
22,com.nike.plusgps,Used this app to train for a marathon. It's distance and pace tracking is way off. It will tell me I've run 20 miles when I've only run not much more than 12 and that my average pace was much quicker than it actually was. Unfortunately this wasn't apparent until the actual date of the race. I'll be using a more accurate tracker for future training.,1
23,com.nike.plusgps,"What happened? This app used to be great. I've been using it for about 15 years. Then a couple of years ago I had to start logging in every single time I opened the app - which was annoying and a time suck. Now over the last few weeks I can't even get into the app at all. It says I've logged in successfully, then it takes me back to the app start up screen again!",1
24,com.nike.plusgps,"****Lots of serious bugs, no in-app bug reporting.**** - Guided runs often end early and prompts come in at the wrong time - Training runs get saved as regular runs so I get no data about segment times - Music doesn't duck for first audio prompt, stays too soft until end of run - Automatic audio feedback comes in on guided runs (which shouldn't happen) - App doesn't open correctly always - A lot of the weekly summary audios are in Spanish",1
25,com.nike.plusgps,"Like many other recent reviews mention, this app has become almost unusable. Coach Bennett is a national treasure but he is the only bright spot. The app isn't compatible with ANY music service, even Spotify which is supposed to have compatibility. All of your podcasts and audio books will have to be manually stopped & started again as the mileage/time updates come through. All of my speed run interval progress is lost at the end of each run. It's just a mess.",1
26,com.nike.plusgps,"The app has too many bugs now which make it useless. It no longer lowers the music volume when the coaches are talking, and it doesn't pause podcasts either. But worst of all is that the coach's prompts are completely out of sync with the timer which makes it impossible to follow the training plan. I'm not sure if this is caused by pausing the workout as others have mentioned, but it shouldn't be!! Really disappointed",1
27,com.nike.plusgps,"The app only works sometimes . I only use it to compete with my friends, but compared to the Adidas app ,this one pales in comparison. There's no way to challenge previous runs . The data is hard to track historically in a well organized fashion. It doesn't work on Android, shame. Constantly logs you out. Like every time I open it. And support is non-existent.",1
28,com.nike.plusgps,"App used to be much better. Training plans are less useful, there is no technical help within the app and parts of the app consistently stop working. For example, there hasn't been a Feed for over three months and nowhere for me to get any help fixing this. Reinstalled the app, tried deleting and re-adding friends, nothing works. Edit 12/31/23 - starting my new year by moving to an app that doesn't delete my runs, has a feed and has technical support. Bye bye Nike!",1
29,com.nike.plusgps,"App is good, but I have been having issues where my distance is not being recorded within the 1st mile. Its been happening quite a lot lately. **2023 Had to update my review. Its gotten worse with the miles not being tracked properly and the constant logging back in. It does make it tough wanting to run and not have it calculate your hard work.",1
30,com.nike.plusgps,"Dont waste your time! This app was incredible. Until it wasn't. I used it for a bit over a year & it worked perfectly. Loved how much data you get from each workout, it cheers you on, the guided runs & advice to make you better. Then it stopped tracking. Gets stuck on 0:08 mins & nothing fixes it. Uninstalled/reinstalled, logged out/in, customer support is clueless. I'm sorely disappointed.",1
31,com.nike.plusgps,"I used to be a happy user of this so y. It has great programs, voicing, features, shoe mileage tracking, etc. It has really gone downhill though, here are some of the frequent issues I experience: inaccurate and inconsistent distance tracking, doesn't always remember I'm logged in, instability (app won't start, or doesn't want to complete the run). Until these are fixed the app is too unreliable.",1
32,com.nike.plusgps,"Looking for a replacement app after this failed to properly track my run so many times. I use a Pixel 2. I frequently am unable to pause the run tracker, or it pauses but won't restart, or it pauses but won't end the run. So my running log now includes a single run that went on for 200+ hours and 18 miles. Great. Currently, I have a notification on my home screen saying ""Nike Run is completing your run"" that's been displaying for a week and I can't dismiss. I press it, and nothing happens.",1
33,com.nike.plusgps,"I have been using (and happy with) this running app for several years. There were a couple of things about it that I didn't care for but nothing major. A recent update has changed my satisfaction to Zero. I used to be able to see my mileage as I ran. Now, instead of miles run, I get calories used, a meaningless bit of data as far as I am concerned. And I have no way of changing the settings back to mileage. Very disappointing, enough so that I am looking for a new run tracker.",1
34,com.nike.plusgps,"I started to use this app based off of a friend's recommendation. I'm not impressed... On my very first run, I hit pause to utilize the facilities 3 miles in and my phone crashed. It wouldn't even power back up. I had to purchase a new phone and the very next day, the app kept pausing by itself and I had to keep starting it back. Garbage... Very Disappointed.",1
35,com.nike.plusgps,Have been using this app for the last 5 yrs. Never had a problem. Now for some reason my app crashes. Doesnt record my runs. I have uninstalled/reinstalled the app at least 5 times in the last 2 weeks to get it to work properly. Still not working. Bug needs to be fixed asap before myself and a lot of NRC users delete the app! Very disappointing.,1
36,com.nike.plusgps,"Been using this app for years, but the coaching audio will not play through my Powerbeats Pro. All the other voiceovers work just fine (status during my run), but none of the guided runs will play. It plays fine when the Powerbeats aren't synced, but refuses to play when I sync. I've reinstalled the app, repaired the Powerbeats, and restarted my device. Wildly frustrating.",1
